x,y,z
-9.390019616,-9.734470687,27.68793634
-9.419173646,-9.658704109,27.85947766
-9.437613841,-9.568102674,28.02103104
-9.44500136,-9.46378649,28.17046292
-9.441147942,-9.347112719,28.30581306
-9.426022817,-9.219647856,28.42533509
-9.399756008,-9.083133417,28.52753113
-9.362637767,-8.9394464,28.61117936
-9.315114133,-8.790556232,28.67535342
-9.257778713,-8.638480029,28.7194331
-9.191360985,-8.485238076,28.74310638
-9.116711571,-8.332811336,28.74636297
-9.034785029,-8.183102599,28.72948041
-8.946620827,-8.037902586,28.6930036
-8.853323188,-7.898861964,28.63771926
-8.756040498,-7.767469836,28.56462674
-8.655944966,-7.645038894,28.47490661
-8.554213115,-7.53269704,28.36988853
-8.452007643,-7.431385025,28.2510196
-8.35046104,-7.34185936,28.11983425
-8.250661275,-7.264699655,27.97792648
-8.153639711,-7.200319407,27.82692507
-8.060361331,-7.148979277,27.66847205
-7.971717234,-7.110801885,27.50420454
-7.888519295,-7.085787302,27.33574005
-7.811496806,-7.073828438,27.16466482
-7.741294866,-7.074725733,26.99252513
-7.678474275,-7.088200636,26.82082108
-7.623512632,-7.113907505,26.65100247
-7.576806381,-7.151443691,26.4844663
-7.538673522,-7.200357647,26.32255564
-7.509356738,-7.260155034,26.16655922
-7.489026705,-7.330302848,26.01771154
-7.47778539,-7.41023166,25.87719314
-7.475669156,-7.499336127,25.7461306
-7.482651549,-7.596973949,25.62559608
-7.498645652,-7.702463526,25.51660618
-7.523505931,-7.815080537,25.42011977
-7.557029553,-7.934053746,25.33703474
-7.598957143,-8.058560342,25.26818343
-7.64897302,-8.187721135,25.21432665
-7.706704961,-8.320595973,25.17614616
-7.77172358,-8.45617976,25.15423571
-7.84354143,-8.593399484,25.14909047
-7.921611977,-8.731112672,25.16109508
-8.005328612,-8.868107705,25.19051037
-8.094023899,-9.003106445,25.23745917
-8.186969266,-9.134769575,25.30191132
-8.283375395,-9.261705055,25.3836685
-8.382393538,-9.382480019,25.48234942
-8.483118019,-9.495636356,25.597376
-8.584590169,-9.599710074,25.72796134
-8.685803913,-9.693254438,25.87310034
-8.785713199,-9.77486662,26.03156384
-8.883241413,-9.843217427,26.20189733
-8.97729285,-9.897083403,26.38242491
-9.066766223,-9.935380383,26.57125939
-9.150570104,-9.957197297,26.76631913
-9.227640071,-9.961828885,26.96535187
-9.296957211,-9.948805758,27.16596559
-9.357567541,-9.917920255,27.36566609
-9.40860175,-9.869246509,27.56190051
-9.449294653,-9.803153325,27.7521055
-9.479003592,-9.720308706,27.93375872
-9.497225096,-9.621675243,28.1044316
-9.503609039,-9.508496049,28.26184144
-9.49796966,-9.382271416,28.40390062
-9.480292888,-9.244726914,28.52876093
